Gene	Cytoband	(A) NON-SARIFA	(B) SARIFA	Log Ratio	p-Value	q-Value	Enriched in
CC2D1A	19p13.12	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
CEP57L1	6q21	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
CFI	4q25	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
CILK1	6p12.1	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
DDO	6q21	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
DNM3	1q24.3	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
DTNB	2p23.3	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
FGF9	13q12.11	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
GLUL	1q25.3	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
HESX1	3p14.3	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
HOXB5	17q21.32	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
KCNK10	14q31.3	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
KPNA5	6q22.1	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
LHFPL4	3p25.3	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
LMAN1L	15q24.1	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
MAST1	19p13.13	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
MCM8	20p12.3	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
MLX	17q21.2	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
MTMR14	3p25.3	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
MYEF2	15q21.1	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
NDST1	5q33.1	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
PACSIN2	22q13.2	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
PDE7B	6q23.3	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
SBSPON	8q21.11	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
SEC63	6q21	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
SGK1	6q23.2	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
SGO2	2q33.1	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
SLAMF1	1q23.3	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
SLC22A23	6p25.2	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
TCF21	6q23.2	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
TGS1	8q12.1	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
TOPBP1	3q22.1	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
USH1G	17q25.1	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
USP4	3p21.31	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
VPS11	11q23.3	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
ZDHHC21	9p22.3	10 (5.24%)	0 (0.00%)	>10	0.0202	0.667	(A) NON-SARIFA
CEP170	1q43	18 (9.42%)	2 (2.25%)	2.07	0.0209	0.667	(A) NON-SARIFA
COL5A1	9q34.3	18 (9.42%)	2 (2.25%)	2.07	0.0209	0.667	(A) NON-SARIFA
CTNNB1	3p22.1	18 (9.42%)	2 (2.25%)	2.07	0.0209	0.667	(A) NON-SARIFA
HK1	10q22.1	18 (9.42%)	2 (2.25%)	2.07	0.0209	0.667	(A) NON-SARIFA
RALGAPA1	14q13.2	18 (9.42%)	2 (2.25%)	2.07	0.0209	0.667	(A) NON-SARIFA
RRP36	6p21.1	18 (9.42%)	2 (2.25%)	2.07	0.0209	0.667	(A) NON-SARIFA
TMEM63B	6p21.1	18 (9.42%)	2 (2.25%)	2.07	0.0209	0.667	(A) NON-SARIFA
DNAI7	12p12.1	15 (7.85%)	15 (16.85%)	-1.10	0.0220	0.667	(B) SARIFA
ZAN	7q22.1	15 (7.85%)	15 (16.85%)	-1.10	0.0220	0.667	(B) SARIFA
CTSB	8p23.1	12 (6.28%)	13 (14.61%)	-1.22	0.0227	0.667	(B) SARIFA
ABCC6	16p13.11	14 (7.33%)	1 (1.12%)	2.71	0.0229	0.667	(A) NON-SARIFA
ARPIN-AP3S2	15q26.1	14 (7.33%)	1 (1.12%)	2.71	0.0229	0.667	(A) NON-SARIFA
CHSY3	5q23.3	14 (7.33%)	1 (1.12%)	2.71	0.0229	0.667	(A) NON-SARIFA
CIB1	15q26.1	14 (7.33%)	1 (1.12%)	2.71	0.0229	0.667	(A) NON-SARIFA
DGKH	13q14.11	14 (7.33%)	1 (1.12%)	2.71	0.0229	0.667	(A) NON-SARIFA
GDI1	Xq28	14 (7.33%)	1 (1.12%)	2.71	0.0229	0.667	(A) NON-SARIFA
GTF2H4	6p21.33	14 (7.33%)	1 (1.12%)	2.71	0.0229	0.667	(A) NON-SARIFA
LMCD1	3p25.3	14 (7.33%)	1 (1.12%)	2.71	0.0229	0.667	(A) NON-SARIFA
NFKBIE	6p21.1	14 (7.33%)	1 (1.12%)	2.71	0.0229	0.667	(A) NON-SARIFA
NGRN	15q26.1	14 (7.33%)	1 (1.12%)	2.71	0.0229	0.667	(A) NON-SARIFA
OSGIN2	8q21.3	14 (7.33%)	1 (1.12%)	2.71	0.0229	0.667	(A) NON-SARIFA
PBX2	6p21.32	14 (7.33%)	1 (1.12%)	2.71	0.0229	0.667	(A) NON-SARIFA
PCDHB11	5q31.3	14 (7.33%)	1 (1.12%)	2.71	0.0229	0.667	(A) NON-SARIFA
PLIN1	15q26.1	14 (7.33%)	1 (1.12%)	2.71	0.0229	0.667	(A) NON-SARIFA
POTEC	18p11.21	14 (7.33%)	1 (1.12%)	2.71	0.0229	0.667	(A) NON-SARIFA
RHOBTB1	10q21.2	14 (7.33%)	1 (1.12%)	2.71	0.0229	0.667	(A) NON-SARIFA
SLC5A6	2p23.3	14 (7.33%)	1 (1.12%)	2.71	0.0229	0.667	(A) NON-SARIFA
SUPT3H	6p21.1	14 (7.33%)	1 (1.12%)	2.71	0.0229	0.667	(A) NON-SARIFA
TM2D3	15q26.3	14 (7.33%)	1 (1.12%)	2.71	0.0229	0.667	(A) NON-SARIFA
TMEM151B	6p21.1	14 (7.33%)	1 (1.12%)	2.71	0.0229	0.667	(A) NON-SARIFA
TTC23	15q26.3	14 (7.33%)	1 (1.12%)	2.71	0.0229	0.667	(A) NON-SARIFA
UBE3B	12q24.11	14 (7.33%)	1 (1.12%)	2.71	0.0229	0.667	(A) NON-SARIFA
ULK1	12q24.33	14 (7.33%)	1 (1.12%)	2.71	0.0229	0.667	(A) NON-SARIFA
WWP1	8q21.3	14 (7.33%)	1 (1.12%)	2.71	0.0229	0.667	(A) NON-SARIFA
ZFAND4	10q11.22	14 (7.33%)	1 (1.12%)	2.71	0.0229	0.667	(A) NON-SARIFA
CLN8	8p23.3	5 (2.62%)	8 (8.99%)	-1.78	0.0232	0.667	(B) SARIFA
FIS1	7q22.1	5 (2.62%)	8 (8.99%)	-1.78	0.0232	0.667	(B) SARIFA
FKBP9P1	7p11.2	5 (2.62%)	8 (8.99%)	-1.78	0.0232	0.667	(B) SARIFA
PHKG1	7p11.2	5 (2.62%)	8 (8.99%)	-1.78	0.0232	0.667	(B) SARIFA
PRMT8	12p13.32	5 (2.62%)	8 (8.99%)	-1.78	0.0232	0.667	(B) SARIFA
RUBCNL	13q14.13	5 (2.62%)	8 (8.99%)	-1.78	0.0232	0.667	(B) SARIFA
SUPT5H	19q13.2	5 (2.62%)	8 (8.99%)	-1.78	0.0232	0.667	(B) SARIFA
ARFGEF1	8q13.2	21 (10.99%)	3 (3.37%)	1.71	0.0236	0.667	(A) NON-SARIFA
DLK2	6p21.1	21 (10.99%)	3 (3.37%)	1.71	0.0236	0.667	(A) NON-SARIFA
MAD1L1	7p22.3	21 (10.99%)	3 (3.37%)	1.71	0.0236	0.667	(A) NON-SARIFA
SOGA3	6q22.33	21 (10.99%)	3 (3.37%)	1.71	0.0236	0.667	(A) NON-SARIFA
SRF	6p21.1	21 (10.99%)	3 (3.37%)	1.71	0.0236	0.667	(A) NON-SARIFA
TICRR	15q26.1	21 (10.99%)	3 (3.37%)	1.71	0.0236	0.667	(A) NON-SARIFA
KRAS	12p12.1	27 (14.14%)	22 (24.72%)	-0.81	0.0244	0.667	(B) SARIFA
CUBN	10p13	33 (17.28%)	7 (7.87%)	1.14	0.0244	0.667	(A) NON-SARIFA
ACAN	15q26.1	24 (12.57%)	4 (4.49%)	1.48	0.0250	0.667	(A) NON-SARIFA
AKAP13	15q25.3	24 (12.57%)	4 (4.49%)	1.48	0.0250	0.667	(A) NON-SARIFA
TDRD6	6p12.3	24 (12.57%)	4 (4.49%)	1.48	0.0250	0.667	(A) NON-SARIFA
NR1D1	17q21.1	27 (14.14%)	5 (5.62%)	1.33	0.0254	0.667	(A) NON-SARIFA
PRDM9	5p14.2	27 (14.14%)	5 (5.62%)	1.33	0.0254	0.667	(A) NON-SARIFA
ARPC1B	7q22.1	8 (4.19%)	10 (11.24%)	-1.42	0.0271	0.667	(B) SARIFA
NETO1	18q22.3	8 (4.19%)	10 (11.24%)	-1.42	0.0271	0.667	(B) SARIFA
TLR3	4q35.1	8 (4.19%)	10 (11.24%)	-1.42	0.0271	0.667	(B) SARIFA
TYW1	7q11.21	8 (4.19%)	10 (11.24%)	-1.42	0.0271	0.667	(B) SARIFA
AAR2	20q11.23	4 (2.09%)	7 (7.87%)	-1.91	0.0272	0.667	(B) SARIFA
B4GALNT3	12p13.33	4 (2.09%)	7 (7.87%)	-1.91	0.0272	0.667	(B) SARIFA
CIBAR1P2	4q35.1	4 (2.09%)	7 (7.87%)	-1.91	0.0272	0.667	(B) SARIFA
CLDN24	4q35.1	4 (2.09%)	7 (7.87%)	-1.91	0.0272	0.667	(B) SARIFA
CYP2A7	19q13.2	4 (2.09%)	7 (7.87%)	-1.91	0.0272	0.667	(B) SARIFA
LINC01007	7q22.1	4 (2.09%)	7 (7.87%)	-1.91	0.0272	0.667	(B) SARIFA
NUPR2	7p11.2	4 (2.09%)	7 (7.87%)	-1.91	0.0272	0.667	(B) SARIFA
PLEKHG2	19q13.2	4 (2.09%)	7 (7.87%)	-1.91	0.0272	0.667	(B) SARIFA
SLC66A2	18q23	4 (2.09%)	7 (7.87%)	-1.91	0.0272	0.667	(B) SARIFA
SNORA15	7p11.2	4 (2.09%)	7 (7.87%)	-1.91	0.0272	0.667	(B) SARIFA
TMEM52B	12p13.2	4 (2.09%)	7 (7.87%)	-1.91	0.0272	0.667	(B) SARIFA
VSTM2A-OT1	7p11.2	4 (2.09%)	7 (7.87%)	-1.91	0.0272	0.667	(B) SARIFA
WDR24	16p13.3	4 (2.09%)	7 (7.87%)	-1.91	0.0272	0.667	(B) SARIFA
WWC2-AS2	4q35.1	4 (2.09%)	7 (7.87%)	-1.91	0.0272	0.667	(B) SARIFA
ZNF679	7q11.21	4 (2.09%)	7 (7.87%)	-1.91	0.0272	0.667	(B) SARIFA
LINC00208	8p23.1	11 (5.76%)	12 (13.48%)	-1.23	0.0279	0.667	(B) SARIFA
P3H2	3q28	11 (5.76%)	12 (13.48%)	-1.23	0.0279	0.667	(B) SARIFA
PIK3CA	3q26.32	51 (26.70%)	14 (15.73%)	0.76	0.0284	0.667	(A) NON-SARIFA
EIF3B	7p22.3	17 (8.90%)	2 (2.25%)	1.99	0.0285	0.667	(A) NON-SARIFA
ERC2	3p14.3	17 (8.90%)	2 (2.25%)	1.99	0.0285	0.667	(A) NON-SARIFA
GNMT	6p21.1	17 (8.90%)	2 (2.25%)	1.99	0.0285	0.667	(A) NON-SARIFA
INTS1	7p22.3	17 (8.90%)	2 (2.25%)	1.99	0.0285	0.667	(A) NON-SARIFA
KCNS2	8q22.2	17 (8.90%)	2 (2.25%)	1.99	0.0285	0.667	(A) NON-SARIFA
LINGO2	9p21.2-p21.1	17 (8.90%)	2 (2.25%)	1.99	0.0285	0.667	(A) NON-SARIFA
MYO18B	22q12.1	17 (8.90%)	2 (2.25%)	1.99	0.0285	0.667	(A) NON-SARIFA
PGC	6p21.1	17 (8.90%)	2 (2.25%)	1.99	0.0285	0.667	(A) NON-SARIFA
RADIL	7p22.1	17 (8.90%)	2 (2.25%)	1.99	0.0285	0.667	(A) NON-SARIFA
RASAL2	1q25.2	17 (8.90%)	2 (2.25%)	1.99	0.0285	0.667	(A) NON-SARIFA
SRGAP3	3p25.3	17 (8.90%)	2 (2.25%)	1.99	0.0285	0.667	(A) NON-SARIFA
ST18	8q11.23	17 (8.90%)	2 (2.25%)	1.99	0.0285	0.667	(A) NON-SARIFA
ZNF638	2p13.3-p13.2	17 (8.90%)	2 (2.25%)	1.99	0.0285	0.667	(A) NON-SARIFA
ADAT2	6q24.2	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
AFG1L	6q21	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
ARCN1	11q23.3	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
ARMT1	6q25.1	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
BCL11B	14q32.2	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
CCDC66	3p14.3	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
CCER1	12q21.33	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
CCP110	16p12.3	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
CEBPZ	2p22.2	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
CREB3L1	11p11.2	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
CTAGE9	6q23.2	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
CYP4F3	19p13.12	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
DALRD3	3p21.31	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
DAO	12q24.11	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
DDX4	5q11.2	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
DEFB112	6p12.3	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
DENND6A	3p14.3	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
DZANK1	20p11.23	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
FAM111B	11q12.1	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
FMNL1	17q21.31	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
GABRP	5q35.1	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
GALNT15	3p25.1	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
GRHL1	2p25.1	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
IGF2	11p15.5	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
IVL	1q21.3	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
LHX9	1q31.3	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
MAN1A1	6q22.31	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
MAN1A2	1p12	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
MCM3	6p12.2	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
MGST3	1q24.1	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
MRGPRX2	11p15.1	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
NOMO1	16p13.11	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
NOS1AP	1q23.3	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
NPLOC4	17q25.3	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
NPRL2	3p21.31	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
NPY4R	10q11.22	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
NRG2	5q31.2	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
OXTR	3p25.3	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
PABPC5	Xq21.31	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
PGS1	17q25.3	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
PPARG	3p25.2	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
RALGPS2	1q25.2	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
RETREG3	17q21.2	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
RUFY1	5q35.3	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
RXFP4	1q22	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
SDR16C5	8q12.1	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
SGSM3	22q13.1	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
SLC19A2	1q24.2	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
SMTN	22q12.2	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
SNCAIP	5q23.2	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
SPATA17	1q41	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
SYT14	1q32.2	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
TMEFF2	2q32.3	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
TTC27	2p22.3	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
TTYH2	17q25.1	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
ZNF878	19p13.2	9 (4.71%)	0 (0.00%)	>10	0.0301	0.667	(A) NON-SARIFA
ACOT2	14q24.3	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
ARMCX5	Xq22.1	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
BACH1-IT2	21q21.3	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
CAVIN4	9q31.1	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
CCER2	19q13.2	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
COX8C	14q32.12	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
CYP2B7P	19q13.2	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
CYP2G1P	19q13.2	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
DNAJB4	1p31.1	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
EID2	19q13.2	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
EID2B	19q13.2	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
EIF4E2	2q37.1	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
F3	1p21.3	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
GNPNAT1	14q22.1	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
GRIK1-AS1	21q21.3	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
GRIK1-AS2	21q22.11	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
GYPC	2q14.3	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
HS6ST1	2q14.3	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
KRTAP19-1	21q22.11	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
KRTAP19-2	21q22.11	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
KRTAP19-3	21q22.11	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
KRTAP19-4	21q22.11	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
KRTAP20-1	21q22.11	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
KRTAP20-2	21q22.11	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
KRTAP20-3	21q22.11	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
KRTAP20-4	21q22.11	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
KRTAP21-3	21q22.11	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
KRTAP22-1	21q22.11	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
KRTAP22-2	21q22.11	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
KRTAP25-1	21q22.11	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
KRTAP6-1	21q22.11	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
KRTAP6-2	21q22.11	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
KRTAP7-1	21q22.11	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
LEUTX	19q13.2	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
LGALS13	19q13.2	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
LINC00158	21q21.2	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
LINC00189	21q21.3	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
LINC00515	21q21.3	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
LINC01692	21q21.2	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
LMO7DN	13q22.2	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
MAP3K7CL	21q21.3	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
MIR155HG	21q21.3	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
MYCBP2-AS1	13q22.3	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
NUDT5	10p14	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
OR3A3	17p13.2	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
OR6C76	12q13.2	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
PXYLP1	3q23	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
SLC9A9-AS1	3q24	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
STMN1	1p36.11	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
TBC1D24	16p13.3	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
THG1L	5q33.3	0 (0.00%)	3 (3.37%)	<-10	0.0314	0.667	(B) SARIFA
APOBEC1	12p13.31	3 (1.57%)	6 (6.74%)	-2.10	0.0314	0.667	(B) SARIFA
CA6	1p36.23	3 (1.57%)	6 (6.74%)	-2.10	0.0314	0.667	(B) SARIFA
GALNT11	7q36.1	3 (1.57%)	6 (6.74%)	-2.10	0.0314	0.667	(B) SARIFA
HSBP1L1	18q23	3 (1.57%)	6 (6.74%)	-2.10	0.0314	0.667	(B) SARIFA
KLRC2	12p13.2	3 (1.57%)	6 (6.74%)	-2.10	0.0314	0.667	(B) SARIFA
LINC01372	7q11.21	3 (1.57%)	6 (6.74%)	-2.10	0.0314	0.667	(B) SARIFA
MFAP5	12p13.31	3 (1.57%)	6 (6.74%)	-2.10	0.0314	0.667	(B) SARIFA
MYO1G	7p13	3 (1.57%)	6 (6.74%)	-2.10	0.0314	0.667	(B) SARIFA
NIBAN3	19p13.11	3 (1.57%)	6 (6.74%)	-2.10	0.0314	0.667	(B) SARIFA
PARD6G-AS1	18q23	3 (1.57%)	6 (6.74%)	-2.10	0.0314	0.667	(B) SARIFA
RBFADN	18q23	3 (1.57%)	6 (6.74%)	-2.10	0.0314	0.667	(B) SARIFA
SLC6A12	12p13.33	3 (1.57%)	6 (6.74%)	-2.10	0.0314	0.667	(B) SARIFA
STAG3L4	7q11.21	3 (1.57%)	6 (6.74%)	-2.10	0.0314	0.667	(B) SARIFA
TSPAN9	12p13.33-p13.32	3 (1.57%)	6 (6.74%)	-2.10	0.0314	0.667	(B) SARIFA
TXNL4A	18q23	3 (1.57%)	6 (6.74%)	-2.10	0.0314	0.667	(B) SARIFA
BLM	15q26.1	20 (10.47%)	3 (3.37%)	1.64	0.0315	0.667	(A) NON-SARIFA
GTPBP2	6p21.1	20 (10.47%)	3 (3.37%)	1.64	0.0315	0.667	(A) NON-SARIFA
SCN1A	2q24.3	20 (10.47%)	3 (3.37%)	1.64	0.0315	0.667	(A) NON-SARIFA
SEMA4B	15q26.1	20 (10.47%)	3 (3.37%)	1.64	0.0315	0.667	(A) NON-SARIFA
ADCY6	12q13.12	13 (6.81%)	1 (1.12%)	2.60	0.0323	0.667	(A) NON-SARIFA
ATP2B4	1q32.1	13 (6.81%)	1 (1.12%)	2.60	0.0323	0.667	(A) NON-SARIFA
CAND2	3p25.2	13 (6.81%)	1 (1.12%)	2.60	0.0323	0.667	(A) NON-SARIFA
CLIP4	2p23.2	13 (6.81%)	1 (1.12%)	2.60	0.0323	0.667	(A) NON-SARIFA
EFHB	3p24.3	13 (6.81%)	1 (1.12%)	2.60	0.0323	0.667	(A) NON-SARIFA
EZH1	17q21.2	13 (6.81%)	1 (1.12%)	2.60	0.0323	0.667	(A) NON-SARIFA
